station_number,total_observations,last_date,last_value,unit
08LB049,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB049&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EE028,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EE028&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HF015,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HF015&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF050,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF050&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GC007,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GC007&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GB003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GB003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GF008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GF008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB046,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB046&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA030,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA030&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KH031,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KH031&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08JD006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08JD006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF094,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF094&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08JA001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08JA001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA076,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA076&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KE008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KE008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB068,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB068&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LA007,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LA007&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HF013,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HF013&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07EC002,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07EC002&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB022,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB022&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA020,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA020&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EG019,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EG019&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA038,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA038&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08MA007,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08MA007&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08MC002,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08MC002&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KE005,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KE005&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB077,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB077&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA049,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA049&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07FA004,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07FA004&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA075,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA075&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LG024,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LG024&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EB006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EB006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KA008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KA008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HE003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HE003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF042,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF042&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB057,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB057&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LC025,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LC025&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KD006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KD006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LA006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LA006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA046,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA046&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07FC001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07FC001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB035,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB035&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08CG001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08CG001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB083,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB083&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD030,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD030&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB079,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB079&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HC008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HC008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07FB005,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07FB005&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD017,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD017&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08CC001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08CC001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KA013,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KA013&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07FB010,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07FB010&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EF006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EF006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EF001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EF001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LA018,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LA018&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF023,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF023&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD012,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD012&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB043,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB043&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08JA026,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08JA026&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE102,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE102&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HC010,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HC010&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07FD002,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07FD002&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD035,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD035&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KH006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KH006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07EA007,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07EA007&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB047,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB047&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KE009,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KE009&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA066,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA066&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB074,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB074&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA033,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA033&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LD002,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LD002&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EB003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EB003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
