station_number,total_observations,last_date,last_value,unit
08FA001,3141,,,cms
08LC005,4080,,,cms
08FB009,5930,,,cms
08HB038,1831,,,cms
08LB004,2174,,,cms
08LE080,1592,,,cms
08LF032,1428,,,cms
08LE090,1233,,,cms
08ED004,5874,,,cms
08LF079,1138,,,cms
08DB014,7583,,,cms
08LB042,3330,,,cms
08LE012,4531,,,cms
08DC006,11666,,,cms
08DB001,30943,,,cms
08LB013,5120,,,cms
08JA021,1186,,,cms
08DA003,35,,,cms
08HD020,8141,,,cms
08HB097,409,,,cms
08LE081,301,,,cms
07FA005,15198,,,cms
08HB042,183,,,cms
08EG007,586,,,cms
07FC007,97,,,cms
08LE093,2176,,,cms
08HA055,2009,,,cms
08HF002,4061,,,cms
08LE039,4322,,,cms
08HDX03,1652,,,cms
08GB013,11459,,,cms
08LF014,1401,,,cms
08DC003,98,,,cms
08LB045,536,,,cms
08LC004,3843,,,cms
08LE094,4265,,,cms
08LG035,460,,,cms
08HB047,1872,,,cms
08EE021,159,,,cms
08LE058,1483,,,cms
08HA064,1271,,,cms
08LB015,539,,,cms
08LE050,931,,,cms
08KB003,23591,,,cms
08LC036,807,,,cms
08LF029,156,,,cms
08KG004,2333,,,cms
08HB034,21614,,,cms
08LC003,30951,,,cms
08GB009,3546,,,cms
08LD005,537,,,cms
08GA016,1839,,,cms
08LG055,6446,,,cms
08KD007,17047,,,cms
08JA025,1186,,,cms
08HC011,477,,,cms
08HD016,2695,,,cms
08MB005,17853,,,cms
08LE005,2869,,,cms
08LA021,2551,,,cms
08EE004,32558,,,cms
08EE017,538,,,cms
08HD021,11593,,,cms
08KH014,7220,,,cms
08LG068,6818,,,cms
08LF096,799,,,cms
08LG042,101,,,cms
08LG006,25126,,,cms
08GA046,4180,,,cms
08HA014,730,,,cms
08LE040,54,,,cms
08LE092,2176,,,cms
08JA016,6465,,,cms
08LB024,20372,,,cms
08LE088,2247,,,cms
08GB010,2380,,,cms
08LG028,2901,,,cms
08EC013,18877,,,cms
07EC001,3392,,,cms
08KH005,226,,,cms
08LE020,27381,,,cms
08HB079,461,,,cms
08JA019,1347,,,cms
08HE009,9649,,,cms
08LE074,1048,,,cms
08KH008,3053,,,cms
08LF022,13819,,,cms
08KC003,7830,,,cms
08FB006,20499,,,cms
07ED001,15282,,,cms
08FB011,4664,,,cms
08LG020,5208,,,cms
08HB004,16096,,,cms
08CG004,9939,,,cms
08LF091,2300,,,cms
08HB032,14718,,,cms
08LC040,17878,,,cms
08GA071,15966,,,cms
08HD027,10146,,,cms
08LA020,8103,,,cms
08LF068,123,,,cms
08LF083,2611,,,cms
08JA010,714,,,cms
08DB012,3162,,,cms
08JB004,233,,,cms
08HB006,24772,,,cms
08LG070,993,,,cms
08KE033,1129,,,cms
08LE035,983,,,cms
08LD004,2020,,,cms
08FA009,376,,,cms
08LB056,245,,,cms
08LA023,192,,,cms
08LA015,863,,,cms
08LE019,3831,,,cms
08MA003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Read timed out. (read timeout=10)",,,
08LC026,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LC026&ordering=-date&limit=1 (Caused by NewConnectionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to establish a new connection: [Errno 113] No route to host""))",,,
08EE015,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EE015&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE064,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE064&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EE014,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EE014&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD026,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD026&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08FE003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08FE003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KH025,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KH025&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08BB001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08BB001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HD029,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HD029&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GB006,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GB006&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE051,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE051&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LB016,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LB016&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LG008,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LG008&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EF005,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EF005&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF020,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF020&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08FB005,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08FB005&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08EB004,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08EB004&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA016,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA016&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07EE010,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07EE010&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LD001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LD001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE011,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE011&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GE002,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GE002&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA041,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA041&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GD003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GD003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB086,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB086&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
