site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09295500,UINTA R BL GILBERT C N NEOLA UTAH,40.78605648,-110.2396005,UT,013,14060003,14060003,14,33.00,ST,Yes,Southwest,False,True
09296000,UINTA R ABOVE CLOVER C NEAR NEOLA UTAH,40.63050466,-110.1590454,UT,013,14060003,14060003,14,132.00,ST,Yes,Southwest,False,True
09296500,"CLOVER CREEK NEAR NEOLA, UTAH",40.6249498,-110.1312672,UT,013,14060003,14060003,14,9.50,ST,Yes,Southwest,False,True
09296800,"UINTA R BLW POWERPLANT DIVERSION, NR NEOLA, UT",40.5913396,-110.1143226,UT,013,14060003,14060003,14,157,ST,Yes,Southwest,False,True
09297000,"UINTA RIVER NEAR NEOLA, UTAH",40.5355082,-110.0634884,UT,013,14060003,14060003,14,163.00,ST,Yes,Southwest,False,True
09297500,"UINTA RIVER NEAR WHITEROCKS, UTAH",40.5207866,-110.0409878,UT,013,14060003,14060003,14,218.00,ST,Yes,Southwest,False,True
09297600,"W CHANNEL UINTAH R BL DIV WKS NR WHITEROCKS, UT",40.46078907,-109.9507067,UT,047,14060003,14060003,14,216.00,ST,Yes,Southwest,False,True
09297700,"E CHANNEL UINTAH R BL DIV WKS NR WHITEROCKS, UT",40.4718999,-109.955707,UT,047,14060003,14060003,14,215.00,ST,Yes,Southwest,False,True
09297800,"E CHANL UINTA R AT CO RD BRIG NR WHITEROCKS, UT",40.454956,-109.9365395,UT,047,14060003,14060003,14,253.00,ST,Yes,Southwest,False,True
09297900,"E CHANL UINTA RIVER @ LAPOINT RD NR LAPOINT, UTAH",40.40356876,-109.8759812,UT,047,14060003,14060003,14,382.00,ST,Yes,Southwest,False,True
09298000,"FARM CREEK NEAR WHITEROCKS, UTAH",40.56745407,-109.9615413,UT,047,14060003,14060003,14,14.90,ST,Yes,Southwest,False,True
09298500,WHITEROCKS R AB PARADISE C N WHITEROCKS UTAH,40.6360643,-109.967375,UT,047,14060003,14060003,14,90.00,ST,Yes,Southwest,False,True
09299000,"PARADISE CREEK NEAR WHITEROCKS, UT.",40.6166205,-109.9395964,UT,047,14060003,14060003,14,10.00,ST,Yes,Southwest,False,True
09299400,"WHITEROCKS R BL DAM SITE NR WHITEROCKS, UT",40.58689879,-109.9276515,UT,047,14060003,14060003,14,110.00,ST,Yes,Southwest,False,True
09299500,"WHITEROCKS RIVER NEAR WHITEROCKS, UT",40.5935653,-109.9323739,UT,047,14060003,14060003,14,109,ST,Yes,Southwest,False,True
09299600,"WHITEROCKS R BL FARM C CANAL NR WHITEROCKS, UT",40.53245498,-109.9232066,UT,047,14060003,14060003,14,120.00,ST,Yes,Southwest,False,True
09299700,"WHITEROCKS RIVER 1 MI E OF WHITEROCKS, UT",40.46717827,-109.9140389,UT,047,14060003,14060003,14,124.00,ST,Yes,Southwest,False,True
09299900,"DEEP CREEK AT HWY 246 NEAR LAPOINT, UTAH",40.37773645,-109.8215348,UT,047,14060003,14060003,14,72.20,ST,Yes,Southwest,False,True
09300000,"DEEP CREEK NEAR LAPOINT, UTAH",40.3332925,-109.8479239,UT,047,14060003,14060003,14,75.00,ST,Yes,Southwest,False,True
09300500,"UINTAH RIVER AT FORT DUCHESNE, UTAH",40.3019041,-109.8532013,UT,047,14060003,14060003,14,557.00,ST,Yes,Southwest,False,True
09301000,"DRY GULCH NEAR NEOLA, UTAH",40.46384116,-110.1618236,UT,013,14060003,14060003,14,67.00,ST,Yes,Southwest,False,True
09301200,"DRY GULCH NR FORT DUCHESNE, UTAH",40.2388496,-109.8523672,UT,047,14060003,14060003,14,469.00,ST,Yes,Southwest,False,True
09301500,"UINTA RIVER AT RANDLETT, UT",40.23355686,-109.803777,UT,047,14060003,14060003,14,1064,ST,Yes,Southwest,False,True
09302000,"DUCHESNE RIVER NEAR RANDLETT, UT",40.21027778,-109.7813889,UT,047,14060003,14060003,14,3790,ST,Yes,Southwest,False,True
09306395,"WHITE RIVER NEAR COLORADO STATE LINE, UT",40.01385727,-109.0806682,UT,047,14050007,14050007,14,3680.00,ST,Yes,Southwest,False,True
09306400,"WHITE RIVER AB HELLS HOLE CANYON NR WATSON, UT",39.973857,-109.1309472,UT,047,14050007,14050007,14,3700.00,ST,Yes,Southwest,False,True
09306405,HELL'S HOLE CAN AT MOUTH NR WATSON UT,39.9733015,-109.128447,UT,047,14050007,14050007,14,24.50,ST,Yes,Southwest,False,True
09306410,"EVACUATION CREEK AB MISSOURI C NR DRAGON, UT",39.79774877,-109.074554,UT,047,14050007,14050007,14,100.00,ST,Yes,Southwest,False,True
